time(ps)	Q
0.0	0.99999905
20.0	0.99517244
40.0	0.9998383
60.0	0.99761647
80.0	0.9969103
100.0	0.9830743
120.0	0.98850894
140.0	0.98653954
160.0	0.9927015
180.0	0.9818087
200.0	0.99301875
220.0	0.9972255
240.0	0.9741218
260.0	0.9657526
280.0	0.96864504
300.0	0.97495073
320.0	0.96629167
340.0	0.9662157
360.0	0.97047776
380.0	0.967256
400.0	0.98307025
420.0	0.98084986
440.0	0.9753985
460.0	0.97131646
480.0	0.9744553
500.0	0.97042084
520.0	0.9742856
540.0	0.9750638
560.0	0.96867406
580.0	0.98003274
600.0	0.97617733
620.0	0.9803114
640.0	0.9790201
660.0	0.974682
680.0	0.9855955
700.0	0.9767017
720.0	0.974184
740.0	0.97509
760.0	0.97669053
780.0	0.9760485
800.0	0.979262
820.0	0.97800225
840.0	0.971851
860.0	0.97501075
880.0	0.9775046
900.0	0.98178005
920.0	0.9783317
940.0	0.9671017
960.0	0.9827799
980.0	0.983359
1000.0	0.9715946
1020.0	0.9716637
1040.0	0.9657297
1060.0	0.9769111
1080.0	0.97323126
1100.0	0.9581801
1120.0	0.9515528
1140.0	0.9653478
1160.0	0.97209054
1180.0	0.9651733
1200.0	0.9651077
1220.0	0.9644316
1240.0	0.96882665
1260.0	0.96845466
1280.0	0.97429806
1300.0	0.9749343
1320.0	0.97056115
1340.0	0.9759754
1360.0	0.96815324
1380.0	0.9676324
1400.0	0.9689065
1420.0	0.97173256
1440.0	0.9751524
1460.0	0.98422223
1480.0	0.9789129
1500.0	0.9869543
1520.0	0.9858728
1540.0	0.9851757
1560.0	0.9808575
1580.0	0.9886581
1600.0	0.9828652
1620.0	0.98671573
1640.0	0.98387814
1660.0	0.98893833
1680.0	0.9842613
1700.0	0.98999023
1720.0	0.9899514
1740.0	0.9926587
1760.0	0.9802684
1780.0	0.9858145
1800.0	0.9876074
1820.0	0.9803946
1840.0	0.97406036
1860.0	0.98412526
1880.0	0.9803574
1900.0	0.98338205
1920.0	0.98519564
1940.0	0.9813234
1960.0	0.95219517
1980.0	0.9731598
2000.0	0.9704703
2020.0	0.9600754
2040.0	0.9489277
2060.0	0.95353067
2080.0	0.961252
2100.0	0.95822257
2120.0	0.96578765
2140.0	0.94844764
2160.0	0.95657796
2180.0	0.9556695
2200.0	0.96307594
2220.0	0.96588916
2240.0	0.970461
2260.0	0.95749617
2280.0	0.9537026
2300.0	0.95617944
2320.0	0.9623315
2340.0	0.95810795
2360.0	0.94461375
2380.0	0.95221317
2400.0	0.9403282
2420.0	0.943567
2440.0	0.9475842
2460.0	0.94914097
2480.0	0.94240254
2500.0	0.9342376
2520.0	0.94221944
2540.0	0.9469463
2560.0	0.9477625
2580.0	0.95463955
2600.0	0.9353663
2620.0	0.9553626
2640.0	0.945643
2660.0	0.9618681
2680.0	0.9641463
2700.0	0.9560673
2720.0	0.9756498
2740.0	0.9681257
2760.0	0.97157633
2780.0	0.96745265
2800.0	0.95890737
2820.0	0.9620914
2840.0	0.96765023
2860.0	0.95527536
2880.0	0.9646817
2900.0	0.96120054
2920.0	0.9592516
2940.0	0.9517463
2960.0	0.92912906
2980.0	0.93881553
3000.0	0.95323795
3020.0	0.9499978
3040.0	0.954117
3060.0	0.9459031
3080.0	0.9288814
3100.0	0.9518975
3120.0	0.93319815
3140.0	0.9359758
3160.0	0.9377525
3180.0	0.95071214
3200.0	0.9577856
3220.0	0.9611055
3240.0	0.95116276
3260.0	0.9576792
3280.0	0.92754924
3300.0	0.93544185
3320.0	0.94833475
3340.0	0.93480754
3360.0	0.9328983
3380.0	0.9408422
3400.0	0.94325054
3420.0	0.94390833
3440.0	0.9265697
3460.0	0.94675595
3480.0	0.9415047
3500.0	0.93421006
3520.0	0.94373554
3540.0	0.9460783
3560.0	0.936979
3580.0	0.94299483
3600.0	0.94049054
3620.0	0.9407526
3640.0	0.948973
3660.0	0.9258458
3680.0	0.93928194
3700.0	0.9463498
3720.0	0.9489028
3740.0	0.94205606
3760.0	0.9456691
3780.0	0.9461478
3800.0	0.9456663
3820.0	0.94477695
3840.0	0.95247316
3860.0	0.959412
3880.0	0.9479186
3900.0	0.9553868
3920.0	0.9555099
3940.0	0.95597786
3960.0	0.96006393
3980.0	0.9659749
4000.0	0.96131635
4020.0	0.9613689
4040.0	0.94821537
4060.0	0.9578748
4080.0	0.96636313
4100.0	0.9637215
4120.0	0.95936936
4140.0	0.9514137
4160.0	0.9551206
4180.0	0.97311586
4200.0	0.9397386
4220.0	0.93631196
4240.0	0.9431223
4260.0	0.93383044
4280.0	0.93695384
4300.0	0.93755305
4320.0	0.9236387
4340.0	0.92287856
4360.0	0.9537132
4380.0	0.947595
4400.0	0.9617296
4420.0	0.9631318
4440.0	0.9359438
4460.0	0.9478274
4480.0	0.9290826
4500.0	0.92272484
4520.0	0.92839295
4540.0	0.93591774
4560.0	0.9189126
4580.0	0.9412095
4600.0	0.93058234
4620.0	0.9038578
4640.0	0.91647243
4660.0	0.954489
4680.0	0.9467927
4700.0	0.9624289
4720.0	0.9599693
4740.0	0.9611612
4760.0	0.9671067
4780.0	0.9704782
4800.0	0.9678414
4820.0	0.9503872
4840.0	0.94560933
4860.0	0.92664266
4880.0	0.93668437
4900.0	0.9560207
4920.0	0.94806254
4940.0	0.9248103
4960.0	0.95837945
4980.0	0.95503306
5000.0	0.95970356
5020.0	0.94898486
5040.0	0.95146084
5060.0	0.95687497
5080.0	0.9472515
5100.0	0.960895
5120.0	0.9346604
5140.0	0.93481
5160.0	0.95367247
5180.0	0.9544555
5200.0	0.9483762
5220.0	0.962462
5240.0	0.9583571
5260.0	0.9574233
5280.0	0.95518863
5300.0	0.9642885
5320.0	0.9536903
5340.0	0.9591212
5360.0	0.9457
5380.0	0.9469351
5400.0	0.9635585
5420.0	0.9664277
5440.0	0.9420631
5460.0	0.9516232
5480.0	0.95836526
5500.0	0.96102977
5520.0	0.95694864
5540.0	0.9419864
5560.0	0.9530222
5580.0	0.93632793
5600.0	0.9655879
5620.0	0.9660278
5640.0	0.96252555
5660.0	0.9548325
5680.0	0.9470498
5700.0	0.95785356
5720.0	0.96721786
5740.0	0.95073086
5760.0	0.9387484
5780.0	0.9552592
5800.0	0.96738636
5820.0	0.9671286
5840.0	0.95386636
5860.0	0.9606395
5880.0	0.9671301
5900.0	0.9646465
5920.0	0.9422851
5940.0	0.95116013
5960.0	0.92777795
5980.0	0.93063354
6000.0	0.9351615
6020.0	0.9295178
6040.0	0.92926407
6060.0	0.93026066
6080.0	0.92784595
6100.0	0.92335993
6120.0	0.9320558
6140.0	0.9373514
6160.0	0.9370307
6180.0	0.93375444
6200.0	0.93521696
6220.0	0.9368352
6240.0	0.9219544
6260.0	0.9388064
6280.0	0.90145016
6300.0	0.92302126
6320.0	0.9288329
6340.0	0.9036095
6360.0	0.9111129
6380.0	0.9237485
6400.0	0.9278636
6420.0	0.91742337
6440.0	0.9328204
6460.0	0.91378003
6480.0	0.9249674
6500.0	0.9240441
6520.0	0.933478
6540.0	0.9168647
6560.0	0.9224039
6580.0	0.92316157
6600.0	0.90160614
6620.0	0.90491635
6640.0	0.91183454
6660.0	0.9056762
6680.0	0.9130957
6700.0	0.8943095
6720.0	0.90597206
6740.0	0.9109549
6760.0	0.87945145
6780.0	0.9128035
6800.0	0.89065784
6820.0	0.89790756
6840.0	0.8993761
6860.0	0.89518726
6880.0	0.9008883
6900.0	0.9242403
6920.0	0.9013035
6940.0	0.90812886
6960.0	0.9156962
6980.0	0.89988494
7000.0	0.9060032
7020.0	0.896348
7040.0	0.92708683
7060.0	0.91378236
7080.0	0.9038206
7100.0	0.9267634
7120.0	0.93226194
7140.0	0.91809994
7160.0	0.911543
7180.0	0.8865161
7200.0	0.92028356
7220.0	0.93309116
7240.0	0.8983947
7260.0	0.9009872
7280.0	0.90500015
7300.0	0.90317756
7320.0	0.8855266
7340.0	0.9027433
7360.0	0.9050404
7380.0	0.90732276
7400.0	0.8994082
7420.0	0.8845507
7440.0	0.9043014
7460.0	0.89917153
7480.0	0.8802508
7500.0	0.8629815
7520.0	0.87790644
7540.0	0.90592146
7560.0	0.8748552
7580.0	0.86209273
7600.0	0.8524633
7620.0	0.878661
7640.0	0.86817914
7660.0	0.8489707
7680.0	0.8335852
7700.0	0.86006796
7720.0	0.85929835
7740.0	0.85082227
7760.0	0.83815354
7780.0	0.8332118
7800.0	0.8591476
7820.0	0.86289907
7840.0	0.8652423
7860.0	0.85512125
7880.0	0.9012041
7900.0	0.8916107
7920.0	0.90681195
7940.0	0.90176475
7960.0	0.887318
7980.0	0.90531886
8000.0	0.90482044
8020.0	0.9235901
8040.0	0.8959866
8060.0	0.87824005
8080.0	0.8793337
8100.0	0.9126308
8120.0	0.9201388
8140.0	0.89389986
8160.0	0.9373794
8180.0	0.90299934
8200.0	0.92215914
8220.0	0.91114223
8240.0	0.9186779
8260.0	0.9346615
8280.0	0.9417937
8300.0	0.9529218
8320.0	0.94504327
8340.0	0.93843263
8360.0	0.9328605
8380.0	0.93449116
8400.0	0.95353585
8420.0	0.9258751
8440.0	0.9363599
8460.0	0.94061846
8480.0	0.938602
8500.0	0.93746483
8520.0	0.94583964
8540.0	0.93614715
8560.0	0.93569297
8580.0	0.9267933
8600.0	0.94683444
8620.0	0.9484505
8640.0	0.93032146
8660.0	0.9348115
8680.0	0.9181111
8700.0	0.9229366
8720.0	0.9331557
8740.0	0.9257004
8760.0	0.92091125
8780.0	0.9118682
8800.0	0.93408483
8820.0	0.8785713
8840.0	0.91303515
8860.0	0.891625
8880.0	0.9246841
8900.0	0.89154017
8920.0	0.89147604
