time(ps)	Q
0.0	0.99894947
20.0	0.9995627
40.0	0.9934444
60.0	0.9919994
80.0	0.9903546
100.0	0.99249035
120.0	0.9879837
140.0	0.9892114
160.0	0.99473774
180.0	0.9892135
200.0	0.97719646
220.0	0.973165
240.0	0.9718054
260.0	0.9658734
280.0	0.9791697
300.0	0.94928014
320.0	0.9576191
340.0	0.962602
360.0	0.96874607
380.0	0.96981144
400.0	0.9789042
420.0	0.9730236
440.0	0.9745913
460.0	0.97687286
480.0	0.9633661
500.0	0.9651307
520.0	0.96840805
540.0	0.96350944
560.0	0.9654269
580.0	0.9562189
600.0	0.9542382
620.0	0.9563035
640.0	0.96102536
660.0	0.9546217
680.0	0.96919304
700.0	0.9643359
720.0	0.9603809
740.0	0.9557266
760.0	0.95789117
780.0	0.954967
800.0	0.95438117
820.0	0.9684481
840.0	0.9730128
860.0	0.9708214
880.0	0.96905464
900.0	0.9597964
920.0	0.96632546
940.0	0.96429706
960.0	0.9584506
980.0	0.9646988
1000.0	0.94531137
1020.0	0.94167346
1040.0	0.9432484
1060.0	0.9538501
1080.0	0.9570757
1100.0	0.9573779
1120.0	0.96187425
1140.0	0.9665856
1160.0	0.9489905
1180.0	0.95775753
1200.0	0.9566238
1220.0	0.95966953
1240.0	0.9582513
1260.0	0.9564773
1280.0	0.9639272
1300.0	0.95856345
1320.0	0.96351093
1340.0	0.9479612
1360.0	0.96995175
1380.0	0.96111697
1400.0	0.9677394
1420.0	0.95938164
1440.0	0.9549655
1460.0	0.96253765
1480.0	0.95504
1500.0	0.9518237
1520.0	0.9618069
1540.0	0.9524359
1560.0	0.9553597
1580.0	0.9525845
1600.0	0.9598977
1620.0	0.96301156
1640.0	0.94253874
1660.0	0.9513941
1680.0	0.9493275
1700.0	0.95564437
1720.0	0.96106756
1740.0	0.959438
1760.0	0.94526535
1780.0	0.9483235
1800.0	0.95340693
1820.0	0.96555793
1840.0	0.9514754
1860.0	0.9549502
1880.0	0.9481007
1900.0	0.94310445
1920.0	0.9624319
1940.0	0.9558331
1960.0	0.9586297
1980.0	0.96458715
2000.0	0.96141833
2020.0	0.95043254
2040.0	0.9752849
2060.0	0.972911
2080.0	0.9677121
2100.0	0.9620328
2120.0	0.9716692
2140.0	0.9356763
2160.0	0.9597211
2180.0	0.9646205
2200.0	0.9542908
2220.0	0.9645144
2240.0	0.9467109
2260.0	0.925939
2280.0	0.94816047
