time(ps)	Q
0.0	0.9594123
20.0	0.9346362
40.0	0.9553923
60.0	0.92935675
80.0	0.89098877
100.0	0.9025054
120.0	0.8697648
140.0	0.9243356
160.0	0.8947885
180.0	0.91813326
200.0	0.95767975
220.0	0.9380746
240.0	0.9234297
260.0	0.9043717
280.0	0.8732606
300.0	0.8781337
320.0	0.8762994
340.0	0.9355616
360.0	0.9410739
380.0	0.9333873
400.0	0.8817896
420.0	0.89927727
440.0	0.881166
460.0	0.9184593
480.0	0.92366904
500.0	0.9270606
520.0	0.9580189
540.0	0.9672633
560.0	0.9332493
580.0	0.87782484
600.0	0.9042651
620.0	0.9416209
640.0	0.9210702
660.0	0.9264315
680.0	0.90145123
700.0	0.92870176
720.0	0.92606825
740.0	0.99886376
760.0	0.9963287
780.0	0.9925039
800.0	0.9986865
820.0	0.9975337
840.0	0.9911414
860.0	0.9928139
880.0	0.99190533
900.0	0.99194604
920.0	0.9882047
940.0	0.99561936
960.0	0.9907706
980.0	0.9978128
1000.0	0.9999992
1020.0	0.99999607
1040.0	0.9980655
1060.0	0.9928201
1080.0	0.9926436
1100.0	0.9925808
1120.0	0.99249876
1140.0	0.99568355
1160.0	0.99262595
1180.0	0.99371135
1200.0	0.9269399
1220.0	0.96542203
1240.0	0.9917793
1260.0	0.9687033
1280.0	0.99221635
1300.0	0.9923327
1320.0	0.98607254
1340.0	0.9926023
1360.0	0.99254304
1380.0	0.99257165
1400.0	0.9882768
1420.0	0.9919057
1440.0	0.99252903
1460.0	0.9922034
1480.0	0.99243075
1500.0	0.9926392
1520.0	0.99185306
1540.0	0.99261904
1560.0	0.9863257
1580.0	0.9922703
1600.0	0.9928012
1620.0	0.99260813
1640.0	0.9926179
1660.0	0.99420214
1680.0	0.9847548
1700.0	0.99263114
1720.0	0.9926448
1740.0	0.99261475
1760.0	0.997657
1780.0	0.9926392
1800.0	0.99249077
1820.0	0.9920596
1840.0	0.9926381
1860.0	0.98712146
1880.0	0.99264336
1900.0	0.99265707
1920.0	0.99260366
1940.0	0.992483
1960.0	0.9923051
1980.0	0.992617
2000.0	0.9927513
2020.0	0.9915694
2040.0	0.992496
2060.0	0.9668607
2080.0	0.9771628
2100.0	0.95799863
2120.0	0.9581243
2140.0	0.9568526
2160.0	0.8750503
2180.0	0.8759732
2200.0	0.93908185
2220.0	0.9347829
2240.0	0.9084384
2260.0	0.9323202
2280.0	0.9240676
2300.0	0.92445654
2320.0	0.95289564
2340.0	0.88338417
2360.0	0.8818213
2380.0	0.8987568
2400.0	0.890744
2420.0	0.9318425
2440.0	0.9111205
2460.0	0.91894543
2480.0	0.88717425
2500.0	0.8873454
2520.0	0.911941
2540.0	0.8881335
2560.0	0.8873988
2580.0	0.9054364
2600.0	0.88482076
2620.0	0.944757
2640.0	0.8878958
2660.0	0.89766294
2680.0	0.8954976
2700.0	0.90158975
2720.0	0.8812847
2740.0	0.8925738
2760.0	0.9108021
2780.0	0.8908091
2800.0	0.8980197
2820.0	0.8818585
2840.0	0.8785764
2860.0	0.88222116
2880.0	0.8773056
2900.0	0.9001051
2920.0	0.88253826
2940.0	0.87614477
2960.0	0.8802633
2980.0	0.8802676
