time(ps)	Q
0.0	0.9946284
20.0	0.9924136
40.0	0.9858255
60.0	0.98860043
80.0	0.9889173
100.0	0.9774165
120.0	0.84610504
140.0	0.86097133
160.0	0.7873002
180.0	0.85525084
200.0	0.80510104
220.0	0.68481624
240.0	0.67168885
260.0	0.6215017
280.0	0.59793144
300.0	0.647457
320.0	0.55593747
340.0	0.5959844
360.0	0.65682846
380.0	0.6253864
400.0	0.60053253
420.0	0.61082053
440.0	0.5779325
460.0	0.56151927
480.0	0.58095413
500.0	0.52749205
520.0	0.5037697
540.0	0.5101267
560.0	0.5082041
580.0	0.49283937
600.0	0.49546152
620.0	0.49249694
640.0	0.4824286
660.0	0.50369036
680.0	0.5289043
700.0	0.53758043
720.0	0.4766868
740.0	0.47163963
760.0	0.4757259
780.0	0.4270097
800.0	0.37953803
820.0	0.31527975
840.0	0.2893979
860.0	0.290941
880.0	0.26934752
900.0	0.24229689
920.0	0.2177386
940.0	0.21342866
960.0	0.19752683
